Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2;Cord3;Cord4
;4;19-feb-14;2014;February;07:23;Marchena;El Finado;Norte;David Acuña;18;42;53;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;3;1;;;;;;;;;;;;;;;;;;;;0,31306;-90,54091;;
;5;19-feb-14;2014;February;07:25;Marchena;El Finado;Norte;David Acuña;18;42;47;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;2;1;;;;;;;;;;;;;;;;;;;;0,31344;-90,54122;0,3138;-90,54128
;6;19-feb-14;2014;February;07:28;Marchena;El Finado;Norte;David Acuña;18;42;48;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;1;3;2;;;;;;;;;;;;;;;;;;;;;;;
;7;19-feb-14;2014;February;07:28;Marchena;El Finado;Norte;David Acuña;18;42;42;2;1;C;M;;24;;10;;Dermatolepis dermatolepis;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;8;19-feb-14;2014;February;07:32;Marchena;El Finado;Norte;David Acuña;18;42;42;2;1;C;M;;24;;10;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;8;19-feb-14;2014;February;07:32;Marchena;El Finado;Norte;David Acuña;18;42;42;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;9;19-feb-14;2014;February;07:35;Marchena;El Finado;Norte;David Acuña;18;42;39;2;1;C;M;;24;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;19-feb-14;2014;February;07:37;Marchena;El Finado;Norte;David Acuña;18;42;34;2;1;C;M;;24;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;19-feb-14;2014;February;07:40;Marchena;El Finado;Norte;David Acuña;18;42;38;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
;12;19-feb-14;2014;February;07:42;Marchena;El Finado;Norte;David Acuña;18;42;37;2;1;C;M;;24;;10;;Hoplopagrus guentherii;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
;12;19-feb-14;2014;February;07:42;Marchena;El Finado;Norte;David Acuña;18;42;37;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;13;19-feb-14;2014;February;07:44;Marchena;El Finado;Norte;David Acuña;18;42;39;2;1;C;M;;24;;10;;Mycteroperca olfax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;19-feb-14;2014;February;10:41;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52155";;
;2;19-feb-14;2014;February;10:43;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Lutjanus argentiventris;;;;;;;1;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52156";;
;2;19-feb-14;2014;February;10:43;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Dasyatis brevis;;;;;;;;;;;2;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52157";;
;3;19-feb-14;2014;February;10:45;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Dasyatis brevis;;;;;;;;;;;1;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52158";;
;4;19-feb-14;2014;February;10:48;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52159";;
;4;19-feb-14;2014;February;10:48;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52160";;
;5;19-feb-14;2014;February;10:50;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Dasyatis brevis;;;;;;;;;;;;1;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52161";;
