Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;9;28-feb-14;2014;February;11:08:00;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;62;2;0;C;M;;24;;15;;M;1;2;25;Myvteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;10;28-feb-14;2014;February;11:10:15;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;62;2;0;C;M;;24;;15;;M;1;2;25;Caranx caninus;;;;;;;;40;;;;;;;;;;;;;;;;;;;
;10;28-feb-14;2014;February;11:12:30;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;60;2;0;C;M;;24;;15;;M;1;2;25;Scomberomorus sierra;;;;;;;;;;3;;;;;;;;;;;;;;;;;
;11;28-feb-14;2014;February;11:12:30;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;60;2;0;C;M;;24;;15;;M;1;2;25;Myvteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;12;28-feb-14;2014;February;11:14:55;Isabela;Cerro Colorado;Centro-sur;Pelayo Salinas;17;40;56;2;0;C;M;;24;;15;;M;1;2;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;28-feb-14;2014;February;15:21:00;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;52;2;0;C;M;;26;;15;;M;2;2;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;28-feb-14;2014;February;15:23:15;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;44;2;0;C;M;;26;;15;;M;2;2;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;28-feb-14;2014;February;15:25:30;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;45;2;0;C;M;;26;;15;;M;2;2;25;Caranx caballus;;;;;50;;;;;;;;;;;;;;;;;;;;;;
;4;28-feb-14;2014;February;15:27:45;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;38;2;0;C;M;;26;;15;;M;2;2;25;Scomberomorus sierra;;;;;;;;;;5;;;;;;;;;;;;;;;;;
;5;28-feb-14;2014;February;15:30:00;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;36;2;0;C;M;;26;;15;;M;2;2;25;Myvteroperca olfax;;;;3;;;;;;;;;;;;;;;;;;;;;;;
